Best estimatore:  Classifier(batch_size=1, callback=None, debug=False, dropout_rate=None,
      f_stable=0.001,
      hidden0=<sknn.nn.Layer `Sigmoid`: frozen=False, name=u'hidden0', units=100>,
      layers=[<sknn.nn.Layer `Sigmoid`: frozen=False, name=u'hidden0', units=100>, <sknn.nn.Layer `Softmax`: frozen=False, name=u'output', units=2>],
      learning_momentum=0.9, learning_rate=0.01, learning_rule=u'sgd',
      loss_type=None, n_iter=5500, n_stable=10,
      output=<sknn.nn.Layer `Softmax`: frozen=False, name=u'output', units=2>,
      random_state=None, regularize=None, valid_set=None, valid_size=0.0,
      verbose=None, warning=None, weight_decay=None, weights=None)
Best parameters set found:  {'n_iter': 5500}
500 : 0.964234620887
750 : 0.969957081545
1000 : 0.948497854077
1250 : 0.962804005722
1500 : 0.961373390558
1750 : 0.962804005722
2000 : 0.964234620887
2250 : 0.965665236052
2500 : 0.958512160229
2750 : 0.967095851216
3000 : 0.961373390558
3250 : 0.965665236052
3500 : 0.948497854077
3750 : 0.964234620887
4000 : 0.968526466381
4250 : 0.965665236052
4500 : 0.964234620887
4750 : 0.965665236052
5000 : 0.969957081545
5250 : 0.962804005722
5500 : 0.972818311874
5750 : 0.968526466381
6000 : 0.965665236052
6250 : 0.954220314735
6500 : 0.967095851216
6750 : 0.97138769671
7000 : 0.965665236052
7250 : 0.965665236052
7500 : 0.968526466381
7750 : 0.959942775393
8000 : 0.959942775393
8250 : 0.947067238913
8500 : 0.965665236052
8750 : 0.967095851216
9000 : 0.968526466381
9250 : 0.962804005722
9500 : 0.949928469242
9750 : 0.954220314735
10000 : 0.965665236052
10250 : 0.964234620887
10500 : 0.954220314735
10750 : 0.9556509299
11000 : 0.97138769671
11250 : 0.959942775393
11500 : 0.959942775393
11750 : 0.962804005722
12000 : 0.952789699571
12250 : 0.957081545064
12500 : 0.957081545064
12750 : 0.97138769671
13000 : 0.959942775393
13250 : 0.97138769671
13500 : 0.968526466381
13750 : 0.97138769671
14000 : 0.959942775393
14250 : 0.965665236052
14500 : 0.964234620887
14750 : 0.957081545064
15000 : 0.964234620887
15250 : 0.969957081545
15500 : 0.961373390558
15750 : 0.969957081545
16000 : 0.967095851216
16250 : 0.964234620887
16500 : 0.967095851216
16750 : 0.954220314735
17000 : 0.958512160229
17250 : 0.967095851216
17500 : 0.949928469242
17750 : 0.952789699571
18000 : 0.967095851216
18250 : 0.962804005722
18500 : 0.959942775393
18750 : 0.962804005722
19000 : 0.959942775393
19250 : 0.961373390558
19500 : 0.967095851216
19750 : 0.959942775393
20000 : 0.945636623748
